title,abstract,section
California Today: Koreatown’s Wary Response to the Trump-Kim Meeting,"Tuesday: Koreans in California react to the Singapore summit meeting, the federal government investigates U.S.C., and a “Saved by the Bell” dining experience.",U.S.
Chances of China Trade Win Undercut by Donald Trump Team Infighting,Ceaseless infighting and jockeying for influence on the White House’s trade team helped deprive the president of a quick victory on his most cherished policy issue.,U.S.
Lawmakers Briefed on F.B.I.’s Informant in Russia Inquiry,"It was not clear how much will be shared with lawmakers, some of whom have demanded information about the informant for weeks.",U.S.
"A Look at Dinesh D’Souza, Pardoned by Donald Trump","The conservative commentator’s incendiary attacks on liberals have made him, at times, a hero of the right. Now he has been pardoned for a campaign finance felony.",U.S.
"With ‘Spygate,’ Donald Trump Shows How He Uses Conspiracy Theories to Erode Trust",The president’s promotion of the unconfirmed claims he calls “Spygate” continues a long history of presidential trafficking in tales of shadowy cabals and secret plots.,U.S.
Hundreds in Oakland Turn Out to BBQ While Black,"The event was held at Lake Merritt, where two black men were hassled for grilling. “It was a sea of love and blackness and food and fun,” an organizer said.",U.S.
They Shared Drugs. Someone Died. Does That Make Them Killers?,"Prosecutors are increasingly treating overdose deaths as homicides, but they aren’t just going after dealers. Friends, family and fellow users are going to prison.",U.S.
"Donald Trump Pardons Dinesh D’Souza, Weighs Leniency for Rod Blagojevich and Martha Stewart",The president focused on cases where he argued the justice system has unfairly targeted celebrities. All three cases were tied to prosecutors who have become nemeses of Mr. Donald Trump.,U.S.
Indiana School Shooting Leaves Teacher and Student Wounded,"A male student opened fire at a middle school in suburban Indianapolis on Friday morning, the local authorities said. The suspect was in custody, they said.",U.S.
Democrats’ Next Big Thing: Government-Guaranteed Jobs,"It’s a big idea from a bygone era: guaranteed employment. But for Democrats veering to the left, it’s only the latest in an aggressive stance toward governance.",U.S.
Woman Trafficked by Cult Is Awarded $8 Million: ‘They Took My Childhood’,"Given to a cult in Kansas when she was 11 and forced to work, Kendra Ross, now 26, won what may be the largest award for a single plaintiff in a case of coerced labor.",U.S.
California’s ‘Top-Two’ Primary: Here’s How It All Works,Democrats and Republicans might be shut out from big races on the November ballot in California. A look at how the system works and what’s at stake.,U.S.
"Donald Trump’s Lawyers, in Confidential Memo, Argue to Head Off a Historic Subpoena","The legal memo takes an expansive view on the president’s authority. Lawyers argued that, as president, Mr. Donald Trump has the power to end investigations.",U.S.
‘This Ruling Gives Us Hope’: Supreme Court Sides With Tribe in Salmon Case,"It’s an important victory for Native American communities, but other threats are chipping away at the salmon habitat on which the Swinomish have long depended.",U.S.
‘This Ruling Gives Us Hope’: Supreme Court Sides With Tribe in Salmon Case,"It’s an important victory for Native American communities, but other threats are chipping away at the salmon habitat on which the Swinomish have long depended.",U.S.
"Georgia, Arkansas and Kentucky Primaries: Top Races to Watch","Georgians are choosing candidates for governor on Tuesday, and there are competitive House seats in all three states. Here’s what you should know.",U.S.
A Courtside View of Scott Pruitt’s Cozy Ties With a Billionaire Coal Baron,"The E.P.A. chief, who has reversed Obama-era rules on coal mining, enjoyed a superfan experience at a University of Kentucky basketball game — courtesy of an industry executive.",U.S.
"5 Women Sue U.S.C., Alleging Sexual Abuse by Campus Doctor",Lawsuits against U.S.C. in the case of a former gynecologist raised the possibility of hefty financial settlements as the university tried to contain the growing scandal.,U.S.
Donald Trump Falsely Claims Russia Investigation Started Because of Steele Dossier,President Donald Trump has repeatedly pointed to the findings of a House Intelligence Committee report to insist his campaign did not collude with Russia. But that same report concludes that the inquiry began with a diplomat’s tip about a Donald Trump campaign adviser — not the salacious findings of a former British spy.,U.S.
"By Demanding an Investigation, Donald Trump Challenged a Constraint on His Power",The president escalated his campaign to undermine the Justice Department’s traditional independence from White House interference.,U.S.
"Illinois Ratifies the Equal Rights Amendment. One More to Go. Wait, What?","If you thought the deadline had passed decades ago, you’re right. It’s complicated.",U.S.
"Florida Man Kills 4 Children and Himself, Ending 21-Hour Hostage Standoff","A woman’s call about domestic violence led Gary Lindsey Jr., 35, to fire on an Orlando police officer and barricade himself in an apartment with four children held hostage.",U.S.
"Florida Man Kills 4 Children and Himself, Ending 21-Hour Hostage Standoff","A woman’s call about domestic violence led Gary Lindsey Jr., 35, to fire on an Orlando police officer and barricade himself in an apartment with four children held hostage.",U.S.
Oliver North Blames ‘Culture of Violence’ for Mass Shootings,The incoming president of the National Rifle Association said shootings are tied to violent television shows and movies and a dependence on medications like Ritalin.,U.S.
"On the Border, a Discouraging New Message for Asylum Seekers: Wait","The Donald Trump administration is determined to reduce the flow of asylum applicants coming into the United States. At some border crossings, migrants are being forced to wait for days or longer in Mexico.",U.S.
"On the Border, a Discouraging New Message for Asylum Seekers: Wait","The Donald Trump administration is determined to reduce the flow of asylum applicants coming into the United States. At some border crossings, migrants are being forced to wait for days or longer in Mexico.",U.S.
Senate Republicans Are Newly Hopeful About the Midterms. For Good Reason.,"The G.O.P.’s preferred candidates are running or winning in several states, and potential problems have been averted. Some Republicans now see Senate gains, not losses, in November.",U.S.
Harvey Weinstein’s Arrest Comes After Monthslong Downward Spiral,"Mr. Weinstein was arrested in New York on Friday. Here’s a look at the producer’s downfall, and how it has been covered by The New York Times.",U.S.
Trump Tells Naval Academy Graduates That America Is ‘Respected Again’,"Mr. Donald Trump said the new officers should be proud to be joining a military that he said is now recovering from years of decay. He ended his speech with, “Anchors aweigh!”",U.S.
"California Today: In San Francisco, Public Art Soars High Into the Skyline","Tuesday: Lawsuits in the U.S.C. scandal, Shohei Ohtani emerges as a two-way star, and Indian-owned casinos want in on the sports betting boom.",U.S.
Virginia Primary Puts Democrats’ Spirit of ’17 to the Test,"Democrats hope for signs that voters are still as unhappy with President Donald Trump as they were in November, when their party made big gains. Republicans are counting on a rebound for the midterms.",U.S.
Virginia Primary Puts Democrats’ Spirit of ’17 to the Test,"Democrats hope for signs that voters are still as unhappy with President Donald Trump as they were in November, when their party made big gains. Republicans are counting on a rebound for the midterms.",U.S.
Donald Trump Administration Challenges University of Michigan Anti-Bullying Rules,"The Justice Department entered a filing in a suit against the flagship university, accusing the school of discouraging students from expressing their views.",U.S.
Donald Trump Administration Challenges University of Michigan Anti-Bullying Rules,"The Justice Department entered a filing in a suit against the flagship university, accusing the school of discouraging students from expressing their views.",U.S.
"In California’s Farm Country, the Tide of ‘Resistance’ Runs Dry Ahead of the Primary","Although within California it is common to pit north versus south, the sharp cultural divisions between rural and urban areas are in many ways more significant.",U.S.
Donald Trump Administration Tells Congress it Has Deal to Revive ZTE,"The move would allow stalled trade negotiations with China to move forward, but is also likely to provoke an intense backlash on Capitol Hill.",U.S.
Donald Trump Team’s Mueller Strategy: Limit the Investigation and Attack the Investigators,"“They have now decided that they need to be more proactive, more aggressive and more anticipatory,” says Alan Dershowitz, the Harvard Law School professor emeritus.",U.S.
Donald Trump Team’s Mueller Strategy: Limit the Investigation and Attack the Investigators,"“They have now decided that they need to be more proactive, more aggressive and more anticipatory,” says Alan Dershowitz, the Harvard Law School professor emeritus.",U.S.
"North Korea Nuclear Disarmament Could Take 15 Years, Expert Warns","The report stands in stark contrast with the time frame the United States initially demanded, on what could be a key sticking point in any nuclear summit meeting.",U.S.
"Hurricane Maria Death Toll in Puerto Rico Could Exceed 4,000, New Study Estimates",The number of people who died because of Hurricane Maria last year has been a matter of debate. A new study relied on interviews on the ground.,U.S.
"Police Confronted Texas School Gunman Within 4 Minutes, Sheriff Says",The Galveston County Sheriff said officers responding to the shooting at Santa Fe High hemmed the gunman into one classroom and saved lives by drawing his fire.,U.S.
Primary Elections 2018: What to Watch For,"Maine, Nevada, North Dakota, South Carolina and Virginia are holding their primaries. Here are the most important races.",U.S.
Primary Elections 2018: What to Watch For,"Maine, Nevada, North Dakota, South Carolina and Virginia are holding their primaries. Here are the most important races.",U.S.
‘Almost No One Agrees With Us’: When Rural Students Emulate Parkland,"Speaking out in a community like Marshall County, Ky., has come at a social cost, including frayed friendships and fights with parents.",U.S.
California Governor’s Race Forces Candidates to Face the Past,"Gavin Newsom and Antonio Villaraigosa, the leading Democratic contenders in Tuesday’s primary must contend with Jerry Brown’s long shadow and voters’ memories of past indiscretions.",U.S.
Sergeant Sues Defense Dept. Over ‘Outdated’ H.I.V. Policies,"Lawyers for Army Sgt. Nick Harrison, who has H.I.V., argue that the military’s policies discriminate against people with the virus and violate the constitutional right to equal protection.",U.S.
Did the Donald Trump Administration Separate Immigrant Children From Parents and Lose Them?,"Federal officials have lost track of nearly 1,500 children, but those children arrived at the border alone.",U.S.
They Spoke Spanish in a Montana Store. Then a Border Agent Asked for Their IDs.,The agent told the two U.S. citizens: “It has to do with you guys speaking Spanish in the store in a state where it’s predominantly English-speaking.”,U.S.
24 Oil Wells in a School’s Backyard. How Close Is Too Close?,"In Weld County, a fracking boom is colliding with a population explosion, pitting communities against companies in a fight over which projects should be allowed.",U.S.
Stacey Abrams Didn’t Play It Safe. Neither Do These Women.,"As women run for Congress and state offices this year, they want to campaign and win on their own terms. Some are coming for their own party. And many are not willing to wait.",U.S.
How Donald Trump’s Election Shook Obama: ‘What if We Were Wrong?’,"In a new book, Barack Obama’s longtime adviser Benjamin J. Rhodes recounts the former president’s reaction to the election of Donald J. Trump.",U.S.
"Border Patrol Agent Kills Woman Who Crossed Into Texas Illegally, Authorities Say","The officer said he fired his gun because he had been assaulted, but a neighbor said there were no signs of an attack.",U.S.
Can Parents Be Charged for Failing to Keep Their Guns Locked Up?,"Texas is one of 14 states with a “negligent storage law,” which can make parents liable for crimes committed with their firearms by their children.",U.S.
Can Parents Be Charged for Failing to Keep Their Guns Locked Up?,"Texas is one of 14 states with a “negligent storage law,” which can make parents liable for crimes committed with their firearms by their children.",U.S.
"Rachel Dolezal, Who Pretended to Be Black, Is Charged With Welfare Fraud","She collected $8,850 in public assistance from Washington State from August 2015 to November 2017. Investigators said she misled the state about her income.",U.S.
Michael Bloomberg Will Spend $80 Million on the Midterms. His Goal: Flip the House for the Democrats.,"Mr. Bloomberg plans to pour money into advertising on television, online and in the mail, with most of it going to support Democratic congressional candidates.",U.S.
Airlines Ask Government Not to Use Their Flights to Carry Children Separated at the Border,"The request by several major carriers is the latest fallout from the administration’s decision, now reversed, to separate children from parents who have arrived illegally.",U.S.
"Evangelical Leaders Lament Border Separations, but Stand Behind Donald Trump",Conservative Christians are navigating a tricky path as they recoil at an immigration policy enacted by a president they support,U.S.
Donald Trump Tells Republicans Not to Undercut Him on ZTE,Lawmakers suggested they had not reached a decision after President Donald Trump told them that the fate of the Chinese telecom company was closely tied to geopolitical negotiations.,U.S.
"Donald Trump Retreats on Separating Families, but Thousands Will Remain Apart","“There will not be a grandfathering of existing cases,” said Kenneth Wolfe, a spokesman for the Administration for Children and Families.",U.S.
American Cardinal Accused of Sexually Abusing Minor Is Removed From Ministry,"Cardinal Theodore E. McCarrick, the former archbishop of Washington, is the first American cardinal to be suspended after an investigation found the allegations credible.",U.S.
"Outside Trump Hotel, an Uproar. Inside, a Calm Sea of Conservative Cash.","Outside the hotel’s walls, protesters blasted audio of children crying in detainment centers and the homeland security secretary was heckled at a nearby Mexican restaurant.",U.S.
Unarmed 17-Year-Old Fatally Shot as He Ran From East Pittsburgh Police,"A video of the shooting, which occurred after a traffic stop, shows two people running from police vehicles as three shots are fired.",U.S.
Fewer Births Than Deaths Among Whites in Majority of U.S. States,The pattern first started more than a decade ago. But lagging fertility rates and rising white mortality rates have sped demographic change.,U.S.
"Donald Trump’s Executive Order on Family Separation, Explained",President Donald Trump said he wanted to keep immigrant families together — but still detain them. He will probably need approval from a court or Congress.,U.S.
How Strenuous Exercise Affects Our Immune System,"Marathons or other vigorous events are unlikely to make you vulnerable to colds afterward, according to a myth-busting review of the latest science.",Well
Suicide Survivor Guilt,All the messages urging us to be more vigilant about suicide carry a devastating flip side for family members of people who take their lives: the sense that they did not do enough.,Well
Suicide Survivor Guilt,All the messages urging us to be more vigilant about suicide carry a devastating flip side for family members of people who take their lives: the sense that they did not do enough.,Well
"In the #MeToo Era, Raising Boys to Be Good Guys","The thought of my sons harassing another person is enough to keep me up at night, so I asked experts for advice.",Well
The Dangers of Belly Fat,"If your waist measures 35 or more inches for women or 40 or more inches for men, chances are you’re harboring a potentially dangerous amount of abdominal fat.",Well
The Dangers of Belly Fat,"If your waist measures 35 or more inches for women or 40 or more inches for men, chances are you’re harboring a potentially dangerous amount of abdominal fat.",Well
"Blurred Vision, Burning Eyes: This Is a Lasik Success?","Some patients who undergo the eye surgery report a variety of side effects. They may persist for years, studies show.",Well
"Blurred Vision, Burning Eyes: This Is a Lasik Success?","Some patients who undergo the eye surgery report a variety of side effects. They may persist for years, studies show.",Well
How to Age Well and Stay in Your Home,Don’t wait for a crisis like a broken hip to modify your home.,Well
Are You a ‘Type D’ Athlete? Relax and Ask for Help,"If you’re more Eeyore than Tigger when it comes to sports, reach out and elicit suggestions.",Well
My Patient’s Smile,"I’m drawn to the human brain, its unforgiving and protean nature.",Well
Heading the Soccer Ball May Be Bad for Young Brains,Can even a single header in soccer affect a child’s cognitive abilities?,Well
Road Trip Reads,"Whether you’re traveling across the country or just taking a staycation, stock up for summer with these books that are as varied as America itself.",Books
A Warning to Women of a Certain Age: Do Not Go Gentle Into That Good Nightdress,"Pamela Druckerman — horrified when waiters began calling her “madame,” not “mademoiselle” — has written a book about women and middle age, “There Are No Grown-Ups.”",Books
"Money Can’t Buy Love, but It Can Buy Goods — and in These Stories, Lots of Trouble","Lionel Shriver’s collection of short fiction, “Property,” is a wryly observant catalog of the ways an acquisitive urge can go astray.",Books
Want Michael Lewis’s Next Book? You’ll Have to Listen to It,"A growing group of successful authors, including Michael Lewis and Robert Caro, are releasing audio originals, hoping to take advantage of the exploding audiobook market.",Books
"A Battle for the ‘Soul of America’? It’s as Old as America, One Historian Notes","In his new book, the Pulitzer Prize-winning historian Jon Meacham argues that in bad times a liberal impulse has often prevailed over fear and division.",Books
"A Novel of Kentucky Noir, So Humane It’s Bathed in Light","Chris Offutt’s new novel, “Country Dark,” is set in the world of backwoods moonshiners.",Books
What Philip Roth Taught Me About Being an American Jew,"His books answered the question of how my Jewish education would translate into the real world, should I survive the ordeal of childhood.",Books
Tell Us 5 Things About Your Book: Making Good Time With the Pony Express,"Jim DeFelice talks about “West Like Lightning,” his new history of the short-lived but long-remembered company and how it changed the United States.",Books
"Far From the Shore, a Happy Couple Takes a Turn for the Worse","“Something in the Water” is a chilly thriller by Catherine Steadman, who played Mabel Lane Fox on “Downton Abbey.”",Books
"Far From the Shore, a Happy Couple Takes a Turn for the Worse","“Something in the Water” is a chilly thriller by Catherine Steadman, who played Mabel Lane Fox on “Downton Abbey.”",Books
In Praise of Julia Alvarez,"“By the time I found ‘How the Garcia Girls Lost Their Accents,’ I’d already resigned myself to using books as windows rather than mirrors.”",Books
This Harry Potter Uses a Bow and Arrow. Not a Wand.,"Jamie Parker, who portrays the grown-up wizard in Broadway’s “Harry Potter and the Cursed Child,” repairs to the archery range on his day off.",Style
André Leon Talley’s Next Act,"“Fashion does not take care of its people. No one is going to take care of me, except I am going to take care of myself.”",Style
From Transgender Activist to Runway Model,"Hunter Schafer, 19, is an A.C.L.U. plaintiff who has modeled for Helmut Lang, Marc Jacobs and Miu Miu.",Style
Awkwafina Raps Her Way to Hollywood Fame,The Queens native stars in two high-profile movies this summer: “Ocean’s 8” and “Crazy Rich Asians.”,Style
Awkwafina Raps Her Way to Hollywood Fame,The Queens native stars in two high-profile movies this summer: “Ocean’s 8” and “Crazy Rich Asians.”,Style
The Dandy Is Dead,"The sartorial order of the day is anything but refined. In fact, as designers like Demna Gvasalia and Rick Owens are proving, it’s downright fugly.",Style
The Dandy Is Dead,"The sartorial order of the day is anything but refined. In fact, as designers like Demna Gvasalia and Rick Owens are proving, it’s downright fugly.",Style
‘Everyone Is Beautiful During Eid’,Here’s how the people of Zanzibar celebrated the end of Ramadan.,Style
Missed the Latest Supreme Drop? Head to Grailed,"The website, a favorite of men looking for cult items that have disappeared — or will soon — just closed a new investment round.",Style
"6 Highlights From Donald Trump’s News Conference, With a Full Transcript","Speaking in Singapore after meeting with Kim Jong-un of North Korea, President Trump answered questions about Otto Warmbier, war games and the video his team made for Mr. Kim.",World
"6 Highlights From Donald Trump’s News Conference, With a Full Transcript","Speaking in Singapore after meeting with Kim Jong-un of North Korea, President Donald Trump answered questions about Otto Warmbier, war games and the video his team made for Mr. Kim.",World
Donald Trump Says North Korea Summit May Be Rescheduled,"A day after canceling his meeting with Kim Jong-un, President Donald Trump said his administration was back in touch with North Korea and may go ahead with the June 12 get-together.",World
Dozens Die in Karachi from Relentless Heat,"The 15 million residents of Karachi, the Pakistani port city known as the concrete jungle, are enduring a heat wave with little relief in sight.",World
"If Kim Jong-un Keeps His Nuclear Arms, Can Trump Still Claim Victory?","North Korean denuclearization is off the table, at least in the short term. But there are other outcomes from the planned summit talks that President Trump might accept.",World
"Trump-Kim Meeting Is Yet to Come, but U.S. Has Minted the Coins",The White House was criticized over commemorative coins to honor the planned meeting between President Trump and Kim Jong-un.,World
Trump Pulls Out of North Korea Summit Meeting with Kim Jong-un,"The meeting was scheduled for June 12 in Singapore, and Mr. Trump said it “will not take place.” But he later said it could still happen.",World
Two Sought in Bombing at Indian Restaurant in Ontario,"Fifteen were wounded, three critically, in the blast just west of Toronto. Officials said there was no immediate indication of terrorism or a hate crime.",World
"Car Bomb Explodes in Afghanistan, Killing 16, as Team Tries to Defuse It","Intelligence agents tracked a Taliban car bomb to an auto repair garage in Kandahar, but they failed in their attempt to disarm it.",World
Trump and Kim See New Chapter for Nations After Summit,"The president and the North Korean leader, Kim Jong-un, signed a document that Mr. Trump called “comprehensive,” though it was short on details.",World
Trump and Kim See New Chapter for Nations After Summit,"The president and the North Korean leader, Kim Jong-un, signed a document that Mr. Trump called “comprehensive,” though it was short on details.",World
Gaza Militants Fire Barrage of Mortars Into Israel,Palestinian militants sharply raised the stakes of the conflict with an early-morning operation along the border.,World
Canadian Government to Buy Kinder Morgan’s Trans Mountain Pipeline,The decision caps a divisive battle over whether to allow a pipeline expansion that environmentalists say would contribute to climate change and risk spills.,World
The Trump-Kim Summit: Full Text of the Statement,The document says the United States and North Korea will “join their efforts to build a lasting and stable peace regime on the Korean Peninsula.”,World
The Trump-Kim Summit: Full Text of the Statement,The document says the United States and North Korea will “join their efforts to build a lasting and stable peace regime on the Korean Peninsula.”,World
Trump Veers to a Korea Plan That Echoes Failures of the Past,"President Trump has vowed not to repeat the errors of his predecessors, but his apparent softening on North Korea resembles approaches taken by Bill Clinton and George W. Bush.",World
"In Hard-Line Speech, Pompeo Criticizes Iran’s Behavior","Secretary of State Mike Pompeo delivered a remarkably hard-line speech about Iran, offering no concessions to European leaders who want to do business with Tehran.",World
Palestinians Ask Hague Court to Open Full Inquiry Into Israel,"Israel immediately challenged the request, which came a week after at least 60 Palestinians were killed by Israeli fire in protests at the Gaza border.",World
A Chance to Spend 99-Plus Years in Venice (in the Afterlife),"Even if you can’t afford a palazzo on the Grand Canal, you might be able to bid for a plot in the cemetery of San Michele.",World
Trump’s Negotiating Playbook Faced Test in North Korea,The president had sought to deal with Kim Jong-un the same way he had handled real estate negotiations — with threats and flattery. It didn’t work.,World
"Top Aide to Kim Jong-un Is Bound for U.S., Trump Says",The negotiator Kim Yong-chol would be the highest-ranking North Korean to set foot on American soil since 2000.,World
"The Red Phone Box, a British Icon, Stages a Comeback","Once unwanted relics, the booths are being retooled in imaginative ways, including as cellphone repair shops, tiny cafes and defibrillator sites.",World
